population,pop2024,pop2023,city,country,growthRate,type,rank,latitude,longitude
37115000,37115000,37194100,Tokyo,Japan,-0.0021,w,1,35.6768601,139.7638947
33807400,33807400,32941300,Delhi,India,0.0263,w,2,28.6273928,77.1716954
29867900,29867900,29210800,Shanghai,China,0.0225,w,3,31.2312707,121.4700152
23935700,23935700,23209600,Dhaka,Bangladesh,0.0313,w,4,23.7544529,90.393336
22806700,22806700,22619700,Sao Paulo,Brazil,0.0083,w,5,-23.5506507,-46.6333824
22623900,22623900,22183200,Cairo,Egypt,0.0199,w,6,30.0443879,31.2357257
22505300,22505300,22281400,Mexico City,Mexico,0.01,w,7,19.4326296,-99.1331785
22189100,22189100,21766200,Beijing,China,0.0194,w,8,40.190632,116.412144
21673100,21673100,21296500,Mumbai,India,0.0177,w,9,18.9733536,72.82810491917377
18967500,18967500,19013400,Osaka,Japan,-0.0024,w,10,34.6937569,135.5014539
17773900,17773900,17340700,Chongqing,China,0.025,w,11,30.05518,107.8748712
17648600,17648600,17236200,Karachi,Pakistan,0.0239,w,12,24.8546842,67.0207055
17032300,17032300,16315500,Kinshasa,DR Congo,0.0439,w,13,-4.3196982,15.3424196
16536000,16536000,15945900,Lagos,Nigeria,0.037,w,14,6.4550575,3.3941795
16047400,16047400,15847800,Istanbul,Turkey,0.0126,w,15,41.006381,28.9758715
15618300,15618300,15490400,Buenos Aires,Argentina,0.0083,w,16,-34.6083696,-58.4440583
15570800,15570800,15332800,Kolkata,India,0.0155,w,17,22.5726459,88.3638953
14942000,14942000,14667100,Manila,Philippines,0.0187,w,18,14.5904492,120.9803621
14590100,14590100,14284400,Guangzhou,China,0.0214,w,19,23.1301964,113.2592945
14470900,14470900,14238600,Tianjin,China,0.0163,w,20,39.1175488,117.1913008
14407100,14407100,13979400,Lahore,Pakistan,0.0306,w,21,31.5656822,74.3141829
14008300,14008300,13607800,Bangalore,India,0.0294,w,22,12.9767936,77.590082
13824300,13824300,13727700,Rio de Janeiro,Brazil,0.007,w,23,-22.9110137,-43.2093727
13311900,13311900,13072600,Shenzhen,China,0.0183,w,24,22.5445741,114.0545429
12712300,12712300,12680400,Moscow,Russia,0.0025,w,25,55.625578,37.6063916
12053700,12053700,11776100,Chennai,India,0.0236,w,26,13.0836939,80.270186
11658200,11658200,11508000,Bogota,Colombia,0.0131,w,27,4.6533816,-74.0836333
11436000,11436000,11248800,Jakarta,Indonesia,0.0166,w,28,-6.175247,106.8270488
11361900,11361900,11204400,Lima,Peru,0.0141,w,29,-12.0621065,-77.0365256
11276700,11276700,11208400,Paris,France,0.0061,w,30,48.8534951,2.3483915
11233900,11233900,11070000,Bangkok,Thailand,0.0148,w,31,13.7524938,100.4935089
11068900,11068900,10801200,Hyderabad,India,0.0248,w,32,17.360589,78.4740613
10004800,10004800,9988050,Seoul,South Korea,0.0017,w,33,37.5666791,126.9782914
9947550,9947550,9698460,Nanjing,China,0.0257,w,34,32.0438284,118.7788631
9828110,9828110,9653770,Chengdu,China,0.0181,w,35,30.6598628,104.0633717
9748030,9748030,9648110,London,United Kingdom,0.0104,w,36,51.5074456,-0.1277653
9651030,9651030,9292340,Luanda,Angola,0.0386,w,37,-8.8272699,13.2439512
9616010,9616010,9499780,Tehran,Iran,0.0122,w,38,35.6892523,51.3896004
9567660,9567660,9320870,Ho Chi Minh City,Vietnam,0.0265,w,39,10.7763897,106.7011391
9556880,9556880,9569330,Nagoya,Japan,-0.0013,w,40,35.1851045,136.8998438
9013840,9013840,8785170,Xi-an,China,0.026,w,41,34.261004,108.9423363
8854440,8854440,8650600,Ahmedabad,India,0.0236,w,42,23.0215374,72.5800568
8850850,8850850,8718250,Wuhan,China,0.0152,w,43,30.5951051,114.2999353
8815630,8815630,8621720,Kuala Lumpur,Malaysia,0.0225,w,44,3.1516964,101.6942371
8419840,8419840,8237210,Hangzhou,China,0.0222,w,45,30.2489634,120.2052342
8350620,8350620,8074030,Suzhou,China,0.0343,w,46,31.311123,120.6212881
8330530,8330530,8064950,Surat,India,0.0329,w,47,21.2094892,72.8317058
8161230,8161230,7775860,Dar es Salaam,Tanzania,0.0496,w,48,-6.8160837,39.2803583
8097282,8097282,8258035,New York City,United States,-0.0195,us,49,40.7127281,-74.0060152
7921130,7921130,7711300,Baghdad,Iraq,0.0272,w,50,33.3061701,44.3872213
7830380,7830380,7680970,Shenyang,China,0.0195,w,51,41.8026095,123.4279105
7820550,7820550,7682430,Riyadh,Saudi Arabia,0.018,w,52,24.638916,46.7160104
7725860,7725860,7684800,Hong Kong,Hong Kong,0.0053,w,53,22.2793278,114.1628131
7704940,7704940,7597390,Foshan,China,0.0142,w,54,23.0239788,113.1159558
7675150,7675150,7587050,Dongguan,China,0.0116,w,55,23.0205969,113.7457788
7345850,7345850,7166370,Pune,India,0.025,w,56,18.5213738,73.8545071
6950950,6950950,6903390,Santiago,Chile,0.0069,w,57,-33.4377756,-70.6504502
6938010,6938010,6803810,Haerbin,China,0.0197,w,58,41.8094221,123.4153907
6783240,6783240,6751370,Madrid,Spain,0.0047,w,59,40.4167047,-3.7035825
6542070,6542070,6344350,Khartoum,Sudan,0.0312,w,60,15.5635972,32.5349123
6431430,6431430,6371960,Toronto,Canada,0.0093,w,61,43.6534817,-79.3839347
6324350,6324350,6198020,Johannesburg,South Africa,0.0204,w,62,-26.205,28.049722
6300410,6300410,6247890,Belo Horizonte,Brazil,0.0084,w,63,-19.9227318,-43.9450948
6217490,6217490,6078000,Dalian,China,0.0229,w,64,38.9181714,121.6282945
6119200,6119200,6080860,Singapore,Singapore,0.0063,w,65,1.357107,103.8194992
6104600,6104600,5986520,Qingdao,China,0.0197,w,66,36.0637967,120.3192081
6014890,6014890,5859270,Zhengzhou,China,0.0266,w,67,23.246071,107.2297041
5940700,5940700,5806030,Ji nan Shandong,China,0.0232,w,68,36.6586401,116.99847925114548
5866700,5866700,5686350,Abidjan,Ivory Coast,0.0317,w,69,5.320357,-4.016107
5711920,5711920,5687360,Barcelona,Spain,0.0043,w,70,41.3828939,2.1774322
5709680,5709680,5610240,Yangon,Myanmar,0.0177,w,71,16.7967129,96.1609916
5703630,5703630,5460590,Addis Ababa,Ethiopia,0.0445,w,72,9.0358287,38.7524127
5696130,5696130,5588480,Alexandria,Egypt,0.0193,w,73,31.1991806,29.8951716
5581710,5581710,5561290,Saint Petersburg,Russia,0.0037,w,74,59.938732,30.316229
5541170,5541170,5325160,Nairobi,Kenya,0.0406,w,75,-1.2832533,36.8172449
5513610,5513610,5379660,Chittagong,Bangladesh,0.0249,w,76,22.6800466,91.8839938
5499680,5499680,5419880,Guadalajara,Mexico,0.0147,w,77,20.6720375,-103.338396
5478080,5478080,5490270,Fukuoka,Japan,-0.0022,w,78,33.6251241,130.6180016
5477090,5477090,5397100,Ankara,Turkey,0.0148,w,79,39.9207759,32.8540497
5431800,5431800,5253380,Hanoi,Vietnam,0.034,w,80,21.0283334,105.854041
5315600,5315600,5235410,Melbourne,Australia,0.0153,w,81,-37.8142454,144.9631732
5195360,5195360,5116650,Monterrey,Mexico,0.0154,w,82,25.6802019,-100.315258
5184900,5184900,5120890,Sydney,Australia,0.0125,w,83,-33.8698439,151.2082848
5027980,5027980,4921490,Changsha,China,0.0216,w,84,28.1450774,113.2384362
5005960,5005960,4865040,Urumqi,China,0.029,w,85,43.419754,87.319461
4977830,4977830,4890280,Cape Town,South Africa,0.0179,w,86,-33.9288301,18.4172197
4943210,4943210,4862940,Jiddah,Saudi Arabia,0.0165,w,87,21.5504432,39.1742363
4935270,4935270,4873050,Brasilia,Brazil,0.0128,w,88,-10.3333333,-53.2
4861080,4861080,4761280,Kunming,China,0.021,w,89,25.0363006,102.7086139
4802450,4802450,4710380,Changchun,China,0.0195,w,90,43.8844201,125.3180998
4728380,4728380,4588670,Kabul,Afghanistan,0.0304,w,91,34.5260109,69.1776838
4727290,4727290,4615760,Hefei,China,0.0242,w,92,31.8665676,117.281428
4681770,4681770,4509290,Yaounde,Cameroon,0.0382,w,93,3.8689867,11.5213344
4659830,4659830,4537900,Ningbo,China,0.0269,w,94,29.8622194,121.6203873
4656520,4656520,4573710,Shantou,China,0.0181,w,95,23.3563921,116.6775856
4534880,4534880,4504150,New Taipei,Taiwan,0.0068,w,96,25.011997,121.4656619
4495730,4495730,4420860,Tel Aviv,Israel,0.0169,w,97,32.0852997,34.7818064
4490730,4490730,4348480,Kano,Nigeria,0.0327,w,98,11.8948389,8.5364136
4454130,4454130,4370470,Shijiazhuang,China,0.0191,w,99,38.0429742,114.5088385
4341640,4341640,4307960,Montreal,Canada,0.0078,w,100,45.5031824,-73.5698065
4331970,4331970,4315670,Rome,Italy,0.0038,w,101,41.8933203,12.4829321
4308510,4308510,4207080,Jaipur,India,0.0241,w,102,26.9154576,75.8189817
